seed,agents,success,ticks,puzzles_solved,messages,blocked_time,invalid_actions,distance,replans
0,2,True,93,4,43,2,5,113,116
1,2,True,62,4,37,3,4,59,61
2,2,True,68,4,41,3,2,69,71
3,2,True,89,4,48,2,7,105,109
4,2,True,69,4,33,2,6,77,80
5,2,True,71,4,41,3,4,75,76
6,2,True,87,4,44,2,6,99,101
7,2,True,151,4,56,2,6,215,218
8,2,True,74,4,48,3,4,69,69
9,2,True,75,4,46,3,5,71,75
10,2,True,78,4,40,3,6,87,89
11,2,True,67,4,45,3,3,59,62
12,2,True,100,4,33,3,8,133,136
13,2,True,88,4,49,2,3,101,101
14,2,True,126,4,51,3,9,171,174
15,2,True,81,4,43,2,6,89,90
16,2,True,89,4,32,3,5,115,118
17,2,True,96,4,42,2,8,117,121
18,2,True,65,4,36,3,4,67,69
19,2,True,122,4,42,2,10,173,179
20,2,True,76,4,42,2,5,83,85
21,2,True,72,4,42,2,3,77,78
22,2,True,103,4,48,3,2,129,130
23,2,True,95,4,42,3,10,113,115
24,2,True,90,4,40,3,7,111,113
25,2,True,78,4,37,3,4,89,92
26,2,True,68,4,47,2,6,57,58
27,2,True,98,4,46,2,6,121,123
28,2,True,81,4,52,3,6,79,83
29,2,True,99,4,46,2,3,129,130
0,3,True,98,4,85,11,11,156,163
1,3,True,56,4,56,10,7,68,73
2,3,True,56,4,60,8,9,68,73
3,3,True,83,4,57,13,9,150,154
4,3,True,71,4,69,10,11,92,97
5,3,True,75,4,59,18,9,116,118
6,3,True,88,4,67,14,13,148,154
7,3,True,62,4,59,14,4,82,83
8,3,True,68,4,66,8,7,92,93
9,3,True,65,4,65,10,4,92,93
10,3,True,71,4,64,14,8,104,111
11,3,True,69,4,60,8,8,106,111
12,3,True,84,4,73,7,6,140,142
13,3,True,74,4,64,10,8,110,115
14,3,True,77,4,67,9,16,110,119
15,3,True,78,4,66,12,7,124,126
16,3,True,76,4,63,8,7,118,120
17,3,True,67,4,58,13,7,102,106
18,3,True,76,4,62,10,11,120,124
19,3,True,74,4,66,13,8,112,113
20,3,True,104,4,82,10,12,184,192
21,3,True,62,4,62,10,9,78,85
22,3,True,69,4,66,11,5,98,99
23,3,True,80,4,66,11,5,130,131
24,3,True,61,4,60,11,3,84,84
25,3,True,78,4,65,11,9,128,131
26,3,True,89,4,67,10,10,150,153
27,3,True,71,4,67,10,6,108,113
28,3,True,68,4,65,11,9,94,97
29,3,True,58,4,52,9,8,84,87
